,0
eux,0
 ét,0
麼時候,0
اب ,0
 gì,0
a p,0
我不喜,0
的话，,0
 pr,0
你可以,0
 هن,0
air,0
anh,0
大家都,0
nt ,0
eu ,0
iss,0
在这里,0
aml,0
eba,0
好了。,0
你知道,0
告訴我,0
wie,0
اذا,0
nno,0
eme,0
chi,0
đan,0
一个人,0
a n,0
rui,0
jn ,0
ese,0
eld,0
ft ,0
ave,0
nhi,0
op ,0
ami,0
 sẽ,0
nh ,0
 ve,0
ne.,0
ت م,0
wee,0
"en,",0
s q,0
más,0
aci,0
erd,0
ان ,0
一起去,0
out,0
 أم,0
sam,0
s c,0
اء ,0
ên ,0
inh,0
你喜歡,0
ي ا,0
ano,0
每个人,0
个问题,0
he ,0
s u,0
o u,0
 sa,0
هنا,0
t p,0
到了。,0
ma ,0
ali,0
tte,0
 vr,0
uốn,0
a i,0
hàn,0
我不知,0
šti,0
 pu,0
我可以,0
cha,0
ر م,0
هذا,0
我昨天,0
ubu,0
ihr,0
ero,0
 لا,0
是我的,0
ت ل,0
uit,0
isa,0
kam,0
nn ,0
 di,0
ạn ,0
k w,0
اني,0
الر,0
los,0
gli,0
 is,0
iều,0
来了。,0
m h,0
v l,0
nd ,0
t c,0
si ,0
我明天,0
est,0
tru,0
 mà,0
g n,0
o d,0
n v,0
n z,0
لم ,0
你怎么,0
的生活,0
这件事,0
 y ,0
uj ,0
auf,0
e r,0
ساع,0
ava,0
ver,0
žan,0
婚了。,0
aan,0
ues,0
，我不,0
àm ,0
 co,0
qu',0
 do,0
th ,0
لي ,0
ة ا,0
اً.,0
ال ,0
ui ,0
وم ,0
 vi,0
这本书,0
 či,0
g v,0
tôi,0
do.,0
什么都,0
dn',0
ن ي,0
يع ,0
hte,0
ns ,0
ana,0
aat,0
ort,0
 تو,0
 ke,0
 ža,0
ant,0
 go,0
e i,0
你应该,0
我喜歡,0
我需要,0
wit,0
att,0
想知道,0
či ,0
'ai,0
الس,0
 وا,0
ا ف,0
we ,0
，但是,0
on',0
g b,0
ần ,0
voo,0
我觉得,0
عرف,0
i c,0
tha,0
don,0
ata,0
的名字,0
么时候,0
n k,0
 đâ,0
很快就,0
lic,0
lla,0
ze ,0
a l,0
à m,0
 تع,0
ن س,0
是不是,0
ith,0
ou ,0
lie,0
 es,0
为什么,0
 và,0
m p,0
 in,0
 و ,0
e a,0
iel,0
ذلك,0
ut ,0
nto,0
ed ,0
هذه,0
alo,0
 با,0
", w",0
 it,0
y đ,0
 إل,0
mes,0
ik ,0
zij,0
une,0
waa,0
 pi,0
des,0
a c,0
em ,0
nda,0
ent,0
 va,0
gì ,0
ang,0
uld,0
und,0
en.,0
n w,0
ner,0
عن ,0
t m,0
الأ,0
e m,0
ink,0
phe,0
rie,0
eur,0
 ch,0
我不能,0
del,0
n h,0
 ở ,0
 nã,0
her,0
les,0
اري,0
的事情,0
von,0
nen,0
k t,0
知道他,0
", d",0
lei,0
 un,0
أنا,0
ي م,0
le ,0
ele,0
ste,0
لقد,0
oor,0
لى ,0
aba,0
now,0
 mi,0
不喜欢,0
 ri,0
thể,0
了，我,0
wer,0
en?,0
我認為,0
 là,0
ger,0
ijn,0
，因为,0
的時候,0
như,0
تي ,0
如果我,0
hen,0
 đế,0
nte,0
死了。,0
 mộ,0
hav,0
 cá,0
jek,0
做的。,0
 كا,0
i a,0
lo ,0
 tr,0
م ا,0
回家。,0
 k ,0
去了。,0
mon,0
's ,0
m e,0
eve,0
à t,0
d t,0
了一个,0
việ,0
eb ,0
最好的,0
ria,0
لما,0
i b,0
e g,0
hôn,0
ous,0
 họ,0
at ,0
u t,0
 سا,0
als,0
a e,0
li ,0
ốn ,0
世界上,0
ait,0
في ,0
enh,0
不可能,0
te.,0
at.,0
東西。,0
moe,0
tto,0
打电话,0
r a,0
n n,0
t v,0
 de,0
 kn,0
o f,0
did,0
的工作,0
 et,0
汤姆。,0
kh ,0
 ce,0
نه ,0
做什么,0
的房子,0
đến,0
com,0
 ha,0
بال,0
 bạ,0
wei,0
s d,0
o q,0
t s,0
re.,0
الد,0
dad,0
lle,0
e w,0
r e,0
nti,0
hab,0
 d',0
ld ,0
 em,0
s t,0
ce ,0
ào ,0
أنت,0
ة أ,0
ماذ,0
r s,0
t l,0
is ,0
rde,0
m c,0
ن م,0
 ne,0
làm,0
ôi ,0
ran,0
 ge,0
 nà,0
nta,0
đượ,0
pro,0
ة م,0
ها.,0
ell,0
看起来,0
 nó,0
a t,0
uer,0
os ,0
par,0
h ấ,0
ry ,0
問題。,0
的时候,0
يمك,0
au ,0
什麼時,0
o t,0
nie,0
chú,0
ن ا,0
the,0
iệc,0
fai,0
t t,0
ie ,0
 si,0
 am,0
zu ,0
maa,0
che,0
oir,0
s k,0
ace,0
ل ا,0
يّة,0
đó ,0
esk,0
我有一,0
tod,0
生活。,0
la ,0
r d,0
sar,0
حيا,0
ght,0
الب,0
اد ,0
 ac,0
rec,0
m s,0
v t,0
hee,0
amo,0
 ng,0
 st,0
a đ,0
y c,0
图书馆,0
a s,0
在這裡,0
ern,0
 su,0
الا,0
问题。,0
rai,0
ge ,0
uis,0
ن ت,0
us ,0
哪里？,0
iết,0
了他的,0
en ,0
con,0
as.,0
这是我,0
mla,0
y l,0
but,0
ett,0
c t,0
لدي,0
 tô,0
sta,0
فاض,0
一样。,0
nge,0
onn,0
 fo,0
osa,0
nói,0
姆和玛,0
i s,0
den,0
 to,0
tá ,0
ben,0
ăn ,0
vou,0
 fr,0
 لل,0
rea,0
e v,0
，所以,0
zio,0
的事。,0
per,0
了嗎？,0
所有的,0
知道我,0
 ma,0
ها ,0
n s,0
o e,0
sic,0
了吗？,0
 an,0
有什么,0
 ze,0
ede,0
all,0
non,0
ot ,0
，但我,0
ora,0
什麼？,0
die,0
qui,0
ية.,0
ول ,0
 po,0
 li,0
i m,0
u a,0
يد ,0
ن ل,0
不好。,0
ão ,0
 n',0
vai,0
sie,0
o c,0
esp,0
你最好,0
haj,0
ued,0
cho,0
ll ,0
，我們,0
ك أ,0
意思。,0
n đ,0
ha ,0
 ni,0
ay ,0
su ,0
 um,0
ضل ,0
sch,0
eft,0
ti ,0
有很多,0
lte,0
ist,0
ي ل,0
t đ,0
ais,0
ي ب,0
 ph,0
ure,0
asa,0
لك ,0
 zi,0
 mu,0
 cô,0
إلى,0
ill,0
الن,0
 a ,0
东西。,0
汤姆在,0
mar,0
al ,0
 đã,0
ía ,0
tat,0
ái ,0
是一个,0
怎么样,0
 wa,0
 l',0
 wh,0
wat,0
 e ,0
ome,0
نها,0
t d,0
天早上,0
thi,0
 lo,0
الإ,0
o é,0
da ,0
 bo,0
 me,0
tes,0
mui,0
和玛丽,0
ما ,0
aus,0
的地方,0
 yo,0
av ,0
ذه ,0
i h,0
 he,0
t o,0
ô ấ,0
voi,0
n c,0
ết ,0
och,0
r l,0
ười,0
naa,0
 pl,0
 sh,0
o n,0
لة ,0
 wi,0
ito,0
ey ,0
ad ,0
and,0
 củ,0
د أ,0
