,0
eit,4
di ,4
oi ,4
 ca,4
ột ,4
ens,3
ون ,4
va ,3
 dé,3
游泳。,1
iến,4
的人。,1
mit,4
 mo,3
 te,5
ear,3
na ,4
ير ,2
لا ,3
pas,3
是真的,1
ợc ,3
ame,3
الو,2
my ,4
kan,3
đi ,3
u n,2
mei,3
الح,3
of ,4
g đ,3
ido,4
aid,2
nic,5
t a,4
ehr,4
sos,2
cái,3
um ,4
e d,4
j i,2
 é ,4
be ,4
這本書,1
ndo,3
i l,3
كان,3
 re,4
ica,4
ة ل,2
ass,3
الم,5
war,3
يلى,2
len,3
m i,2
 au,4
ong,2
eri,4
ard,2
سام,2
của,4
 لك,2
ier,3
oy ,3
你應該,1
ّة ,3
iam,4
g m,2
ar ,4
i v,2
ué ,3
 ei,5
在哪裡,2
ين ,3
مي ,2
ng ,9
m a,2
uir,2
 vớ,2
 xa,2
res,4
id ,3
的朋友,3
重要。,1
té ,3
n g,3
ate,3
c c,2
ا ت,2
 th,8
n t,5
ن ف,2
là ,3
tar,3
dum,2
 لي,2
mi ,4
"t, ",9
nho,3
ống,3
时间。,1
hre,4
ا ل,2
 ar,4
ي ف,2
了一個,1
在一起,1
是一個,2
lij,3
e z,3
ất ,3
hải,2
e c,4
ủa ,4
ien,8
ới ,2
e q,3
go ,3
ane,2
anc,3
ليس,2
c n,2
的房间,2
ás ,3
西班牙,1
do ,4
告诉我,1
真的很,1
 đó,3
han,3
我希望,2
ا ب,2
有任何,2
e s,5
 أح,2
m w,2
走了。,1
ro ,4
 ba,3
ord,3
t n,2
ken,3
汤姆和,1
的東西,2
ndi,3
ai ,4
sa ,3
s m,3
ont,3
 ấy,4
在哪里,1
孩子。,1
n p,3
الط,2
g l,3
một,4
 že,1
 fa,4
hat,4
有没有,2
 بع,2
ind,5
 na,4
oet,2
un ,5
ة ف,2
"e, ",8
 có,4
hac,2
cê ,3
 no,4
ó t,4
 ti,4
je ,5
ى م,2
رة ,3
to.,2
ies,4
ss ,2
讓我們,1
 đi,4
 من,5
der,9
s i,3
ta ,4
 عن,2
car,3
我已經,1
iet,3
 so,4
was,4
aj ,2
مع ,2
 du,5
ấy ,3
s v,3
 on,5
 la,6
 جد,2
abe,4
m k,2
来的。,1
r i,3
olt,2
e f,3
g t,3
我們的,2
是什麼,1
uma,3
ly ,3
 đa,3
eef,2
 sc,4
aar,5
i t,4
tu ,4
الق,2
你喜欢,1
الص,2
e h,4
 kh,5
hey,3
 ee,4
ing,5
mo ,3
الك,3
 ik,4
من ,3
 o ,5
ary,2
sse,3
ông,4
m t,3
l k,1
ام ,3
 ذل,2
工作。,1
，不是,1
e j,3
ại ,4
ost,3
هم ,5
el ,6
ron,3
on ,6
son,3
我没有,1
dan,3
our,4
توم,2
ل م,2
qué,3
عمل,2
pre,3
tom,4
الع,4
far,3
ske,1
ية ,4
il ,4
l'a,3
ليل,2
ời ,4
mos,5
ren,4
الش,3
了我的,2
lan,4
iv ,2
eer,4
e p,4
s n,4
vo ,2
ات ,3
o a,3
，我就,1
 of,4
ến ,2
e k,3
我知道,1
dem,3
他们的,1
 om,3
peu,2
r w,3
que,8
本书。,1
i d,3
tra,4
ado,4
انت,3
ho ,2
you,5
ت ا,3
 عل,3
ašt,2
ngư,4
ir ,4
sa.,1
时候，,1
g c,5
有一个,1
我想要,1
ijk,3
sen,3
eel,3
ى ا,2
a k,2
et ,5
o i,3
s s,4
hei,4
las,4
ère,6
有一個,1
漂亮的,1
ي ت,2
 ال,10
n l,4
m đ,2
n j,2
str,4
t h,3
ia ,3
ue ,7
 gi,6
kha,2
so ,2
e l,5
 đư,2
 bi,3
m n,4
hi ,3
什么时,2
الج,4
如果你,2
era,5
hou,3
y n,2
يس ,2
ều ,3
ình,2
sai,2
ted,2
ach,5
 hi,4
ur ,3
 ما,4
cos,3
的东西,2
 ta,3
ery,3
j ž,1
van,3
wha,2
 zo,4
wir,4
ا ي,4
امي,2
ama,2
 i ,4
ans,3
tio,3
i g,2
eux,3
 ét,3
麼時候,2
اب ,2
 gì,2
a p,4
我不喜,1
的话，,1
 pr,4
你可以,2
 هن,2
air,3
anh,3
大家都,1
nt ,5
eu ,6
iss,3
在这里,1
aml,2
eba,2
好了。,1
你知道,2
告訴我,1
wie,3
اذا,2
nno,3
eme,2
chi,3
đan,2
一个人,2
a n,4
rui,3
jn ,4
ese,4
eld,3
ft ,2
ave,3
nhi,2
op ,4
ami,3
 sẽ,2
nh ,6
 ve,5
ne.,1
ت م,2
wee,3
"en,",4
s q,4
más,3
aci,3
erd,3
ان ,3
一起去,1
out,3
 أم,2
sam,2
s c,5
اء ,3
ên ,2
inh,3
你喜歡,1
ي ا,4
ano,3
每个人,2
个问题,1
he ,6
s u,2
o u,3
 sa,4
هنا,2
t p,2
到了。,1
ma ,4
ali,3
tte,3
 vr,3
uốn,4
a i,4
hàn,3
我不知,2
šti,2
 pu,5
我可以,1
cha,3
ر م,2
هذا,2
我昨天,1
ubu,1
ihr,3
ero,5
 لا,3
是我的,2
ت ل,2
uit,3
isa,3
kam,2
nn ,3
 di,5
ạn ,3
k w,2
اني,2
الر,2
los,5
gli,4
 is,5
iều,2
来了。,1
m h,2
v l,1
nd ,5
t c,3
si ,3
我明天,1
est,4
tru,2
 mà,3
g n,4
o d,5
n v,3
n z,4
لم ,3
你怎么,1
的生活,1
这件事,1
 y ,4
uj ,1
auf,3
e r,3
ساع,2
ava,4
ver,4
žan,1
婚了。,1
aan,4
ues,3
，我不,1
àm ,3
 co,5
qu',3
 do,4
th ,3
لي ,2
ة ا,4
اً.,1
ال ,2
ui ,5
وم ,2
 vi,4
这本书,1
 či,2
g v,2
tôi,4
do.,2
什么都,2
dn',2
ن ي,3
يع ,2
hte,3
ns ,4
ana,3
aat,3
ort,3
 تو,2
 ke,3
 ža,1
ant,6
 go,4
e i,4
你应该,1
我喜歡,1
我需要,1
wit,3
att,3
想知道,1
či ,2
'ai,4
الس,2
 وا,6
ا ف,2
we ,4
，但是,1
on',2
g b,2
ần ,3
voo,3
我觉得,2
عرف,4
i c,4
tha,4
don,2
ata,4
的名字,1
么时候,2
n k,3
 đâ,2
很快就,1
lic,4
lla,4
ze ,3
a l,4
à m,2
 تع,3
ن س,2
是不是,2
ith,2
ou ,4
lie,4
 es,5
为什么,1
 và,3
m p,3
 in,5
 و ,5
e a,4
iel,3
ذلك,2
ut ,3
nto,4
ed ,4
هذه,3
alo,3
 با,3
", w",4
 it,3
y đ,2
 إل,3
mes,3
ik ,5
zij,4
une,5
waa,2
 pi,4
des,5
a c,5
em ,7
nda,3
ent,6
 va,3
gì ,2
ang,4
uld,3
und,9
en.,3
n w,3
ner,3
عن ,2
t m,4
الأ,4
e m,3
ink,2
phe,1
rie,3
eur,3
 ch,6
我不能,1
del,3
n h,3
 ở ,2
 nã,3
her,4
les,7
اري,1
的事情,1
von,3
nen,5
k t,2
知道他,2
", d",4
lei,3
 un,5
أنا,3
ي م,2
le ,5
ele,4
ste,3
لقد,2
oor,3
لى ,3
aba,4
now,3
 mi,4
不喜欢,2
 ri,3
thể,4
了，我,1
wer,3
en?,2
我認為,1
 là,4
ger,3
ijn,4
，因为,1
的時候,2
như,2
تي ,2
如果我,1
hen,4
 đế,2
nte,7
死了。,1
 mộ,4
hav,3
 cá,4
jek,2
做的。,1
 كا,3
i a,3
lo ,4
 tr,4
م ا,2
回家。,1
 k ,1
去了。,1
mon,3
's ,5
m e,2
eve,6
à t,2
d t,3
了一个,2
việ,2
eb ,3
最好的,3
ria,3
لما,2
i b,3
e g,3
hôn,3
ous,6
 họ,4
at ,5
u t,3
 سا,2
als,3
a e,3
li ,4
ốn ,3
世界上,1
ait,4
في ,5
enh,3
不可能,1
te.,2
at.,1
東西。,1
moe,3
tto,3
打电话,1
r a,3
n n,4
t v,3
 de,7
 kn,3
o f,2
did,3
的工作,2
 et,3
汤姆。,1
kh ,1
 ce,3
نه ,3
做什么,2
的房子,1
đến,2
com,5
 ha,4
بال,3
 bạ,3
wei,6
s d,5
o q,3
t s,4
re.,2
الد,3
dad,4
lle,5
e w,4
r e,4
nti,3
hab,3
 d',3
ld ,3
 em,3
s t,3
ce ,4
ào ,3
أنت,2
ة أ,3
ماذ,2
r s,3
t l,4
is ,4
rde,4
m c,3
ن م,3
 ne,3
làm,3
ôi ,5
ran,4
 ge,5
 nà,3
nta,3
đượ,2
pro,3
ة م,2
ها.,1
ell,4
看起来,1
 nó,4
a t,3
uer,3
os ,8
par,5
h ấ,3
ry ,3
問題。,1
的时候,2
يمك,4
au ,3
什麼時,1
o t,3
nie,4
chú,2
ن ا,4
the,8
iệc,2
fai,3
t t,4
ie ,6
 si,5
 am,4
zu ,4
maa,3
che,5
oir,2
s k,3
ace,4
ل ا,3
يّة,4
đó ,3
esk,1
我有一,1
tod,4
生活。,1
la ,5
r d,3
sar,3
حيا,2
ght,3
الب,3
اد ,2
 ac,3
rec,3
m s,2
v t,1
hee,3
amo,4
 ng,8
 st,3
a đ,2
y c,3
图书馆,1
a s,4
在這裡,1
ern,5
 su,4
الا,4
问题。,1
rai,3
ge ,3
uis,3
ن ت,3
us ,6
哪里？,1
iết,3
了他的,2
en ,8
con,4
as.,2
这是我,1
mla,2
y l,3
but,2
ett,3
c t,2
لدي,2
 tô,4
sta,4
فاض,1
一样。,1
nge,4
onn,3
 fo,5
osa,3
nói,4
姆和玛,1
i s,4
den,4
 to,5
tá ,4
ben,4
ăn ,2
vou,4
 fr,3
 لل,3
rea,3
e v,4
，所以,2
zio,2
的事。,1
per,4
了嗎？,1
所有的,2
知道我,1
 ma,6
ها ,4
n s,4
o e,4
sic,4
了吗？,1
 an,5
有什么,1
 ze,3
ede,4
all,4
non,3
ot ,3
，但我,1
ora,3
什麼？,1
die,4
qui,4
ية.,5
ول ,3
 po,4
 li,4
i m,3
u a,3
يد ,3
ن ل,2
不好。,1
ão ,6
 n',3
vai,3
sie,4
o c,3
esp,3
你最好,1
haj,2
ued,2
cho,3
ll ,4
，我們,2
ك أ,2
意思。,1
n đ,3
ha ,4
 ni,5
ay ,3
su ,4
 um,4
ضل ,2
sch,5
eft,2
ti ,3
有很多,1
lte,3
ist,4
ي ل,3
t đ,2
ais,5
ي ب,2
 ph,4
ure,4
asa,2
لك ,2
 zi,4
 mu,3
 cô,4
إلى,3
ill,3
الن,3
 a ,7
东西。,1
汤姆在,1
mar,3
al ,4
 đã,2
ía ,4
tat,3
ái ,3
是一个,2
怎么样,1
 wa,6
 l',5
 wh,3
wat,3
 e ,6
ome,2
نها,3
t d,4
天早上,1
thi,3
 lo,5
الإ,3
o é,2
da ,4
 bo,4
 me,5
tes,4
mui,3
和玛丽,1
ما ,4
aus,4
的地方,2
 yo,5
av ,2
ذه ,3
i h,3
 he,5
t o,4
ô ấ,3
voi,2
n c,4
ết ,3
och,3
r l,4
ười,4
naa,3
 pl,3
 sh,3
o n,3
لة ,2
 wi,7
ito,3
ey ,4
ad ,2
and,5
 củ,4
د أ,2
